question, answer
什麼是ACP（預立醫療照護諮商）與AD（預立醫療決定）？,ACP 是與醫療團隊與家屬共同討論的溝通過程，AD是意願人書面文件簽署後，在健保卡上註記的醫療意願。
任何人都可以進行「預立醫療照護諮商」及「預立醫療決定書」嗎？,只要18歲以上具有完全行為能力者皆可參與，並完成健保卡註記即具法律效力。
我是不是不能簽？我聽說有慢性病、重大傷病或癌症不能簽？,只要您年滿18歲且具完全行為能力，不論是否有疾病都可以簽署預立醫療決定。反而如果您本身有疾病，也對於未來的醫療照護想法，越早進行預立討論越能保障您的意願。
我只是想了解一下，不代表我要做決定，這樣可以嗎？,當然可以。預立醫療照護諮商是一個探索與了解的過程，並不一定要當場簽署。與專業人員談一談，對您或家人都是很有幫助的準備。同時諮商後，也能把AD帶回家思考與填寫，但請記得要把AD帶回本院上傳與註記。
「預立醫療照護諮商」時會討論些什麼內容？,病主法保障權利、五種臨床情境、醫療選項與風險、醫療偏好與程序等，以及透過諮商，來促進意願人與親友在醫療照護想法上的共識凝聚。
我在你們醫院簽過安寧還要再簽預立醫療決定嗎？,因為保障範圍與適用法規不同，安寧意願書只適用於末期病人。您可以與家屬或代理人一起參與「預立醫療照護諮商」後再決定。
請問「預立醫療決定（AD）」就是放棄醫療嗎？ 跟之前的DNR、安寧緩和醫療意願書有什麼不同？,這些都不是放棄醫療，而是針對特定臨床條件下，表達拒絕延長生命措施的意願。
「預立醫療決定」跟安樂死有什麼不同？,安樂死或協助自殺是主動縮短生命，這兩者皆不合法，而病主法是回歸自然歷程，提供緩和醫療照護，減少不適。
預立醫療決定簽的內容跟之前我去簽安寧意願書有什麼不一樣?,因為保障範圍跟適用法規的不同，安寧意願書只有適用於末期病人的部分，若像是極重度失智、永久植物人，還是得長期臥床照顧到最後才適用安寧，所以您可以先邀請二親等內家屬或醫療委任代理人一起來參與「預立醫療照護諮商」，再做決定。
預立醫療決定也是跟安寧一樣到末期才會生效嗎?,並不會哦，只有在上述五款「特定臨床條件」之外，您的預立醫療決定才會被啟動與執行，在那之前，醫師都還是依照醫療常規進行必要之急救措施，不得無故拖延。而是否符合這五款的條件，還須經過兩位專科醫師及至少二次緩和醫療團隊照會評估方可執行，所以啟動程序是非常嚴謹的，請您放心。關於五款「特定臨床條件」介紹，可以參考本院官網 https://tpech.gov.taipei/News_Content.aspx?n=2C8726B15FF9714D&sms=6A80DD614501A2AA&s=5CA0A27ABD1FD93C
在一般的醫療情況，當你無法決定治療意願時，是按照醫療法所提到的順位來代理你的決定。那這個預立醫療決定也是這樣嗎?我可以找其他人嗎?,意願人委任醫療委任代理人二人以上者，可以依照病人自主權利法第十條第三項第三款預立醫療決定所定權限，自己決定排定順位；當未來您(意願人/病人)昏迷或意思不清時，有先順位之醫療委任代理人有優先代理權，如先順位者不為意思表示或無法聯繫時，則由後順位者行使之。同時請留意，後順位者已為意思表示後，先順位者不得提出不同意思表示，也就是說，此時先順位者要遵照後順位者的安排。
如果我的醫療委任代理人比我早死，這該怎麼辦?,若醫療委任代理人亡故，建議更新預立醫療決定，重新指定新的代理人，並完成IC卡註記；或是就先指定多位代理人。
簽署預立醫療決定時要找家屬來，但問題是有時候我平常就一個人獨自生活、找不到家屬、或是家庭因分財產原因關係不好，這時候又要找家屬來該怎麼辦?,如經本院評估您確實無二親等或與二親等關係疏離等特殊事由，仍可做諮商，但會在諮商當天請您另外填具無二親等聲明書，敍明二親等無法出席之事由。但預立醫療照護諮商的意義，有部分是希望協助您的家屬了解並尊重您的意願及決定，所以還是希望盡可能的邀請他們一起參加。
如果是獨居的老人，我可以找朋友來當醫療委任代理人或是見證人嗎?,可以。原則上您可指定18歲以上之人，成為您的醫療委任代理人，但若您的朋友是受遺贈人、遺體或器官指定之受贈人，以及其他因您死亡而獲得利益時，不得為醫療委任代理人。您當然可以指定您的朋友為醫療委任代理人。但注意醫療委任代理人不得作為見證人。
預立醫療決定的內容是可以隨時更動的嗎?,可以隨時撤回或變更AD，如果改變決定，須向醫療機構提出變更，並再次註記在健保卡。
我如果要捐器官，是想捐就能捐嗎?,若您有器官捐贈意願，可以簽署器捐同意書由醫院協助將您的意願註記在健保卡。但未來是否能成功器捐，則需由器捐移植小組的醫療人員評估您當下的身體狀況是否符合捐贈，以及也需要家人的同意。
如果我選擇不要人工營養或是鼻胃管，這樣不是會餓死嗎?,在特定臨床條件下，選擇不施行人工營養是尊重個人意願，但仍可以給予手工餵食餵水(例如用湯匙進食、或用梅花棒沾溼臨終病人嘴唇保持濕潤，並會同步提供舒適照護與止痛治療，避免痛苦。 詳細內容且參閱： https://hpcod.mohw.gov.tw/hospWeb/download_doc/%E6%9C%AB%E6%9C%9F%E7%97%85%E4%BA%BA%E7%85%A7%E8%AD%B7%E6%89%8B%E5%86%8A.pdf
如果在五種特定臨床條件下，除了可以選擇不要維持生命治療、人工營養外，痛的話可以給我們什麼東西呢?,會提供適當的緩和醫療及止痛藥物，不會讓您在痛苦中度過。
如果我來參加「預立醫療照護諮商」一定要簽署「預立醫療決定(AD)」嗎？,來參加ACP不一定需要當下簽署預立醫療決定書，不需要有壓力。但是經過這樣自己跟親友一起思考、探索生命議題的過程很有意義。
聽說還要找見證人，所以我要找到見證人一起去你們醫院嗎？,不一定，本法規定在預立醫療決定書上簽名時有二名以上具完全行為能力人在場見證或經公證人公證即可。亦即來院完成預立醫療照護諮商後，可以將預立療決定書帶回家找人見證或公證。完成後，在請您攜帶決定書正本與相關資料回願上傳註記。另請注意，您的醫療委任代理人是無法做見證人的。
精神障礙者可以做ACP嗎?,須由醫師評估其是否具備完全行為能力與自主決策能力，若能表達意願即可參加。
我的家人都在國外，但他們很想參加，可不可以用視訊方式參加?但如果他無法及時簽名還可以當見證人嗎?,若能清楚說明事由，二親等無法到場仍可進行ACP，但是也建議國外的二親等透過視訊一起參與諮商，了解您的想法與決定；見證人必須親簽，無法透過視訊完成簽署。
家人現在已經生病、意識不清，我可以幫他簽署「預立醫療決定」嗎？,不行，當病人意識昏迷或無法表達意願時，AD為尊重病人自主決定的精神，因此必須在只有本人能表達意見時才可簽署。
"我的家屬已經中風了,現在在養護中心可以簽署「預立醫療決定」嗎?",原則上只要您的家屬意識清楚且可以表達意願，在沒有心智缺陷或非出於自願的疑慮下，需邀請二親等家屬及醫療委任代理人（若無醫療委任代理人則二親等家屬即可），共同參與預立醫療照護諮商及簽署預立醫療決定書。
"我的家屬現在失智,可以帶她可進行「預立醫療照護諮商」嗎?",失智症視嚴重程度有不同分期，早期失智的病人若經預立醫療照護諮商團隊評估仍具有心智能力可進行醫療決定的討論，則可依法定程序進行預立醫療照護諮商。
我看到新聞說貴院有提供「預立醫療決定書」簽署服務，那現在還有在做嗎？,有的，但需事前完成預立醫療照護諮商，由專業團隊協助。相關預約資訊請查看本院官網：我要如何預約北市聯醫預立醫療照護諮商服務 https://tpech.gov.taipei/News_Content.aspx?n=4116B1D37FF74CFA&sms=7D2D8361A3FCFF6C&s=E191286144B90642
如果我年紀還輕，是不是太早簽了？,不是的。病人自主權利法保障所有成年人的選擇權利，不論年齡。年輕時思考並做準備，是對自己與家人負責的表現。但請注意，簽署年齡是依據民法規定，所以仍須滿18歲才能簽署。
我沒結婚，這樣可以做這件事嗎？我找誰陪我？,當然可以。只要您具備完全行為能力，不論婚姻狀態皆可進行。陪同的人可以是親人、朋友、或您信任的醫療委任代理人。他們也可能是最後會照護到您的人。
我的父母年紀大了，我可以幫他們簽嗎？,預立醫療決定必須由本人簽署，不能由他人代簽。不過，您可以鼓勵父母一起來參加諮商，只要他們願意，且能自己做決策，讓我們協助他們釐清意願。
家人很排斥談生死，我怎麼說服他來參加？,您可以先用『未來醫療萬一怎麼辦、相關新聞事件、名人過世』等角度與話題慢慢做切入，跟他們談談對這些議題的想法，再來提起自己覺得也想做這些安排，強調這是對自己與家人的負責，也可以讓我們協助提供說明資料，減少他們的排斥感。
宗教上是不是不贊成簽署放棄急救或預立醫療決定？,宗教信仰強調尊重生命與尊嚴。在病人自主權利法下，尊重自然死亡、避免過度醫療與痛苦，其實也是不少宗教所肯定的價值。但您若宗教信仰尚有不同的想法，或需要時間思考做安排，我們也尊重您的價值看法。
我想邀請長輩參加簽署，但他們說生死由老天安排即可，我們該怎麼邀請參加ACP？,可以理解長輩的想法是尊重上天的意志，一切遵從上天的安排，不過ACP不是為了改變命運，而是讓自然的歷程中多一點準備與尊嚴。很多相信順其自然的長輩，反而能接受不做過度治療。
住外縣市可以到你們醫院做ACP並簽署AD嗎？健保卡會註記嗎？,可以，不限設籍地區。只要完成合法程序，我們會協助您完成健保卡註記。
我看新聞或聽說有不同版本的AD表格，我該填哪一個？,目前AD只有統一一個版本喔，而本院使用中央衛福部公布的公版表格，依照病人自主權利法規範填寫，具備法律效力。
我想邀請家人參加ACP，但他們都說到時候醫生自然會決定，我要怎麼解釋我的選擇？,您可以告訴他們，醫生會救人，但也有時候醫師會不確定某些情況是否需要持續治療（如末期），而且也不是所有情況都能恢復健康。與其拖延痛苦，可以事前思考看看，讓醫療團隊尊重您事先在AD上做的安排，維護生命尊嚴與意願。
我該怎麼跟我的孩子談？他們還小，不想談生死的事情。,小孩的確對於生死議題比較難以理解或想像，或許您可以從『萬一有天我生病了，希望你們知道我的想法』出發，用愛的角度開啟對話，讓他們理解這是為了減少未來的負擔與衝突。
我想參加預立醫療照護諮商，在諮商前可以做什麼準備？,"建議可先瞭解AD文件、邀請二親等及醫療委任代理人（若有想指定的話）、瞭解費用與攜帶健保卡等。相關攜帶資料，您也可以參考本院製作的影片：【預立醫療照護諮商前的五件事】 https://youtu.be/UIk-4kY9nYw
"
預立醫療照護諮商如何收費？有什麼補助方案？,"北市聯醫提供有個別諮商及團體諮商，個別諮商第一位收費2250元，第2位以上收費800元。團體諮商則為800元。1.針對弱勢及失能者，提供免費諮商補助，對象包含：
　- 身心障礙者、重大傷病患者、臨床失智症評估量表（CDR）0.5分以上患者、急性後期整合照護計畫服務對象、長照服務之日間照顧服務對象及罕見疾病患者等對象。（註：罕見疾病種類以衛生福利部公告名單為限）
　- 前述對象之一位主要照顧者。
　- 「低收入戶」、「中低收入戶」、「中低收入老人生活津貼」、「臺北市列冊獨居長者」及「臺北市列冊遊民」等弱勢族群。
2. 設籍於臺北市65歲以上及55歲以上原住民且持有敬老卡之長者，每位補助諮商費用800元。3. 更多補助資訊請參考本院官網： https://tpech.gov.taipei/News_Content.aspx?n=4116B1D37FF74CFA&sms=7D2D8361A3FCFF6C&s=E191286144B90642"
請問我在你們醫院做了ACP也簽了AD，在別家醫院有效嗎？,只要經由合法流程完成，並健保IC卡已註記，其他醫療院所也會依規定執行。
請問我在你們醫院做ACP也簽AD，在國外醫院有效嗎？,只有在中華民國的醫療院所才能執行。
如果醫院評估啟動AD後，無法提供我緩和照護，那我該怎麼辦呢?,醫療機構應依病主法提供緩和照護，若因資源限制建議轉至具備緩和照護服務之機構。
簽署「預立醫療決定」要找見證人，我要找到見證人一起去醫院嗎?,不一定，不過依規定預立醫療決定書上需有二名以上具完全行為能力人在場見證或經公證人公證。若以參加團體預立醫療照護諮商，現場可鼓勵意願人主動詢問其他參與意願人(彼此若熟識)，是否願意擔任其見證人。另注意，醫療委任代理人無法擔任見證人。
病主法中的醫療委任代理人，若意願人指定兩名以上時，醫療團隊該聽誰的話來執行？,意願人委任醫療委任代理人二人以上者，得就本法第十條第三項第三款預立醫療決定所定權限，得排定順位；先順位之代理人有優先代理權，如先順位者不為意思表示或無法聯繫時，由後順位者行使之。後順位者已為意思表示後，先順位者不得提出不同意思表示。
參加團體諮商，我會不會沒有隱私，大家都知道我家裡的事情？,不會的，我們團體諮商流程，開始由醫療團隊說明五款臨床條件及常見之醫療選項的成效與風險：包括「維持生命治療」及「人工營養或流體餵養」這兩種延長生命措施。後續我們將依照不同家庭分組，由護理師、社工人員等帶領進行諮商、討論，在空間安排上，同時會注意各組間間距，以保障民眾隱私權益。團體諮商的流程可以參考本院製作的影片： https://youtu.be/GhOS5bvNqeU
參加「預立醫療照護諮商」時會討論些什麼內容？,預立醫療照護諮商諮商團隊會跟您說明下列事項：1.何謂五款臨床條件：末期病人、不可逆轉之昏迷、永久植物人、極重度失智、或其他疾病痛苦難以承受、無法治癒且無其他合適之醫療解決方法之疾病。2.常見之醫療選項的成效與風險：包括「維持生命治療」及「人工營養或流體餵養」這兩種能夠延長生命之必要措施。
哪邊可以拿到預立醫療決定書的表格？ 是不是簽名就可以？,經過「預立醫療照護諮商」，討論各項醫療選項的成效與風險，透過溝通與決策過程，諮商團隊會提供公版表格供您以書面形式完成您的「預立醫療決定書」。另外，還需完成健保IC卡註記，您的「預立醫療決定書」才具法律效力哦。
簽署「預立醫療決定」要找見證人，我要找到見證人一起去醫院嗎?,不一定，不過依規定預立醫療決定書上需有二名以上具完全行為能力人在場見證或經公證人公證。若以參加團體預立醫療照護諮商，現場可鼓勵意願人主動詢問其他參與意願人（彼此若熟識），是否願意擔任其見證人。另注意，醫療委任代理人無法擔任見證人。
如果我來參加「預立醫療照護諮商」一定要簽署「預立醫療決定（AD）」嗎？,不一定，可帶回思考後再簽署。與親友討論生命議題也很重要。
我與家屬關係疏離，特殊疾病狀況發生時，已經簽好DNR和AD，家屬能否提出異議？,醫療團隊會邀請家屬了解當下的治療情況，意願人的抉擇依據等，若當時意願人仍清楚，亦可主動向家屬解釋。但仍然建議邀請關係緊密的二親等家人一起來諮商，或是完成AD簽署後帶回向家人解釋。
在諮商中，我擔任陪同的二親等或家人不同意我要這樣選怎麼辦？我很猶豫。,這正是預立諮商的重要價值之一，我們會協助您與家人溝通，找出彼此的想法，盡量讓雙方能夠理解與尊重，最終依您的意願做決定。
如果我簽署了「預立醫療決定書」，那以後我生病住院，醫護人員會不會放棄不救我了？,不會，只有在符合「五款特定臨床條件」且經專科醫師及緩和醫療團隊評估後才會執行，其他情況會依常規醫療照護處理。
如果我簽署了預立醫療決定書，發生緊急的事故由救護車送至醫院急診，會不會醫院就不進行救治了呢？,並不會哦，只有在符合五款「特定臨床條件」，您的預立醫療決定才會被啟動與執行，在那之前，醫師都還是依照醫療常規進行必要之急救措施，不得無故拖延。
救護車上的急救人員會能夠讀健保卡知道我家人有簽AD嗎？,當發生緊急事件時救護人員會先施以必要的緊急醫療措施後再送醫，因此在救護車上是不會讀健保卡的。而送往急診通常仍會先視病人狀況優先處置，加上緊急或意外事件造成的病情並不見得已符合病主法所判定的臨床條件，因此不會因為查詢病人健保卡或家屬告知有簽署AD而停止治療。
我的家人有簽AD，如果家人在家裡心跳停止了，我還要叫救護車嗎？救護車人員如果問我要不要插管、壓胸、電擊，是要接受還是要照家人的AD內容執行呢？,可能會需要先瞭解家人心跳停止的原因為何，如果是意外的心跳停止事件，仍需要叫救護車先做急救處理。
如果我要變更我的醫療決定，是不是要再重新預約一次預立醫療照護諮商呢？,變更醫療決定只有本人可以變更，如您需變更預立醫療決定內容，不需要再重新預約諮商，但會需要重新找2位見證人簽名及重新簽署AD，建議請您先與原諮商醫院的承辦窗口聯絡(如在北市聯合醫院則為社工課)，瞭解變更AD的程序。
AD正本如果不見會怎麼樣？如何確認已經上傳成功？,可使用健保卡利用衛福部系統的【民眾意願查詢】查看是否註記成功。若遺失正本可從系統影像檔案預覽處，下載掃描檔。
修改意願一定要正本嗎？如果正本遺失了怎麼辦？,如果您意願改變想修改或撤回AD，建議持原來的AD正本及本人健保卡，由本人親自向原諮商醫院提出辦理。如果您的AD正本遺失沒有關係，醫院仍可從健保卡的影像檔查詢到您原來簽署的AD內容。但仍建議您若有變更或撤回AD的需求，建議可先致電原諮商醫院的承辦窗口瞭解相關程序如何進行。
我上班很忙，可以請家人代為幫我送件修改意願嗎？,若您有變更或撤回AD需求，以臺北市立聯合醫院的做法，因需要確認是否為您本人意願，會需要請您當下簽具一份變更或撤回AD的聲明書，故仍建議本人親自來院進行變更AD。但若有特殊事由或外出不便之意願人，除一樣需本人填寫變更或撤回AD聲明書外，尚需提供委任書，且醫院承辦窗口也需再額外確認意願人的意識是否清楚及由他人代為辦理。
變更AD後需要重新找見證人嗎？,是的，因為變更的AD要重新簽署，仍需符合法定程序，也需要兩位見證人或公證人簽署。
可以從哪裡查詢預立醫療決定？,1. 健保卡於各大醫療院所醫事櫃台、服務台或是社工單位查詢；2. 透過預立醫療決定、安寧緩和醫療及器官捐贈意願資訊系統，輔以讀卡機插健保卡讀取資訊；3.健保快易通APP。
不同醫院之間的資料會自動同步我的AD嗎？,會，只要已在健保IC卡註記，任何醫院皆可查閱AD並依您的意願執行，無須每家醫院都重簽。
器官捐贈或是大體捐贈也有包含在預立醫療決定裡面嗎？,不包含，須額外辦理器官或大體捐贈同意書。
醫療日新月異，說不定現在治不好的病以後能治，如果改變決定怎麼辦？,可以隨時撤回或變更AD，如果改變決定，須向醫療機構提供變更，並再次註記在健保卡。
簽署過後一段時間忘記當初「預立醫療決定」內容，可從哪裡得知？,可使用健保卡或申請會員帳號查詢，或參考本院官網：如何查詢註記的預立醫療決定書？ https://tpech.gov.taipei/News_Content.aspx?n=37966ABD1666E9E1&sms=E78887F108B43780&s=245672868961BE60
